0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0027 012D 0452 09CE 0ED7 0F52 0A30 02FF 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 011B 07FC 16F8 29A4 350C 3057 1EB2 0918 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 006A 057D 1BDE 3D14 5696 5861 4296 2865 0D2A 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 000D 0328 13BA 3E84 63C5 6BED 5562 31D8 1A27 041A 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 00DE 0B14 2CCA 6026 70BC 571A 2947 05C3 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 00D4 07D5 21C2 508C 6FE1 59F8 204F 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 03A9 16D9 4044 693D 62FF 2973 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0297 1022 32CF 5D1A 658D 37E8 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 009F 0C1C 2A18 5384 674D 40CC 0000 0000 0000 0000 0000 0000 0000 0898 0D61 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 000D 008C 05CA 220F 4C76 6795 51E8 01EB 0000 0000 0000 0000 0000 0000 0000 1399 187A 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 003F 0370 1665 4457 68A5 608A 1FB2 0000 0000 0000 0000 0000 0000 0000 060C 1BB1 2540 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 00BC 0B39 318B 6172 6959 35A1 0000 0000 0000 0000 0000 0000 0000 0000 06B8 21BF 3354 1418 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0155 14DF 46E9 68BB 4FEA 0000 0000 0000 0000 0000 0000 0000 0000 0000 0955 2A79 412C 298F 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 01C3 1BA4 4BE5 5CED 2DB3 0000 0000 0000 0000 0000 0000 0000 0000 0078 0F05 3615 4D8C 3106 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 01D9 1C8F 4550 4E08 1507 0000 0000 0000 0000 0000 0000 0000 0000 0328 1905 4568 561F 25C7 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 01C0 1ADA 40A5 4879 0D5B 0000 0000 0000 0000 0000 0000 0000 0084 0A71 2C28 58D7 57BA 0BE2 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 01A6 1922 3D8F 4615 0E87 0000 0000 0000 0000 0000 0000 005C 040B 19B4 4571 6412 454B 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 014E 1368 3546 40E0 1320 0000 0000 0000 0000 0000 0043 0421 11C0 3427 5C26 5A76 17F4 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 00BB 0A2E 2B91 3D15 1D49 0000 0000 0000 0000 0000 057A 141B 309D 54E0 6388 3921 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0031 01E8 263D 3D71 2B6F 0000 0000 0000 0000 066F 1CA7 382C 543B 5FF1 4655 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 2075 3472 2DC3 13AA 0000 0000 0335 1AD9 336B 4B68 545B 40B7 0793 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 154E 2547 2B4D 2361 0D22 0175 0A27 1C23 2EF6 37A8 2BA8 032F 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 065B 13B6 1EA5 1DF7 10D0 0014 0000 04DA 083D 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 080E 0DA0 0941 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0291 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 

